mass_g,group,metabolic_loss_per_day,fmr_w_per_g,whole_body_fmr_w
0.265862775468574,mammal endotherm,0.8944322846286182,0.07246557861574453,0.019265899856717984
0.265862775468574,bird endotherm,1.3016435148564558,0.10545722921290729,0.028037151651769114
0.2891926258260833,ectotherm,0.024000139973388717,0.0019444557848810303,0.0005623222742324629
0.2891926258260833,mammal endotherm,0.8743482658899885,0.07083840117164258,0.020485943244148815
0.2891926258260833,bird endotherm,1.272415776555118,0.10308924115608595,0.02981264834434683
0.31456970493438136,ectotherm,0.023679309050079783,0.0019184625387796122,0.0006034901947515668
0.31456970493438136,mammal endotherm,0.8547152235032031,0.06924776116345395,0.02178324779655422
0.31456970493438136,bird endotherm,1.2438443321441282,0.10077442505797335,0.0317005811554186
0.3421736601334139,ectotherm,0.02336276695514708,0.001892816767199416,0.0006476720411945202
0.3421736601334139,mammal endotherm,0.8355230310253141,0.06769283816177313,0.023162706198632747
0.3421736601334139,bird endotherm,1.2159144448803945,0.0985115869694764,0.033708070278896864
0.3721999030819585,ectotherm,0.023050456356059644,0.0018675138251437213,0.0006950884647227107
0.3721999030819585,mammal endotherm,0.8167617893974621,0.06617283015951661,0.024629520972030982
0.3721999030819585,bird endotherm,1.1886117089268415,0.09629955975101724,0.03584268680616389
0.40486099309983486,ectotherm,0.02274232068670077,0.0018425491297095532,0.0007459762704894461
0.40486099309983486,mammal endotherm,0.7984218218390834,0.06468695315825906,0.026189224096255265
0.40486099309983486,bird endotherm,1.1619220419220846,0.09413720247053926,0.038112481279862755
0.44038814190043185,ectotherm,0.02243830413712263,0.0018179181592576205,0.0008005896002825168
0.44038814190043185,mammal endotherm,0.7804936688567642,0.06323444076385822,0.027847697872108446
0.44038814190043185,bird endotherm,1.1358316777169513,0.09202339981503077,0.04052601405590194
0.4790328503657321,ectotherm,0.022138351643437932,0.0017936164525933509,0.0008592012017486659
0.4790328503657321,mammal endotherm,0.7629680833651696,0.06181454379115958,0.029611197106336543
0.4790328503657321,bird endotherm,1.1103271592740953,0.08995706151526235,0.04309238758818163
0.5210686889507569,ectotherm,0.02184240887784667,0.0017696396081588739,0.0009221037905386755
0.5210686889507569,mammal endotherm,0.7458360259175283,0.060426529877577524,0.03148637270115306
0.5210686889507569,bird endotherm,1.08539533172705,0.08793712178344154,0.045821280757800925
0.5667932343211246,ectotherm,0.02155042223879619,0.0017459832832358026,0.0009896115121758367
0.5667932343211246,mammal endotherm,0.7290886600432158,0.05906968310535313,0.03348029673760699
0.5667932343211246,bird endotherm,1.0610233355951364,0.08596253876349484,0.04872298537621629
0.6165301759334096,ectotherm,0.02126233884127282,0.0017226431931586777,0.00106206151094861
0.6165301759334096,mammal endotherm,0.7127173476900281,0.05774330363229394,0.03560048914739448
0.6165301759334096,bird endotherm,1.0371986001507263,0.0840322939936931,0.051808445000019604
0.6706316074710319,ectotherm,0.020978106507223235,0.0016996151105389196,0.0011398156136627712
0.6706316074710319,mammal endotherm,0.6967136447687986,0.05644670733080544,0.03785494607370493
0.6706316074710319,bird endotherm,1.0139088369354403,0.08214539188134355,0.05508929620372328
0.7294805193570227,ectotherm,0.020697673756103943,0.0016768948644991619,0.0012232621366619729
0.7294805193570227,mammal endotherm,0.6810692967980568,0.05517922543502775,0.04025217002806228
0.7294805193570227,bird endotherm,0.9911420334219369,0.08030085918927729,0.05857791246620915
0.793493509988459,ectotherm,0.020420989795557013,0.0016544783399178135,0.0013128178251412648
0.793493509988459,mammal endotherm,0.6657762346464852,0.05394020419589579,0.04280120195689555
0.793493509988459,bird endotherm,0.9688864468180219,0.07849774453386751,0.06228745083635591
0.8631237348857151,ectotherm,0.020148004512210525,0.001632361476683723,0.0014089299344388162
0.8631237348857151,mammal endotherm,0.6508265703709764,0.052729004543944843,0.04551165533877552
